Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH,LOW ,PREV. CLOSE ,ltp,close,vwap,52W H ,52W L ,VOLUME ,No of trades 
21-Feb-25,Friday,February,Q1,2025,EQ,109900.0,110371.0,108786.0,109938.7,109297.0,109263.3,109398.8,151445.0,106335.0,5319.0,3382.0
20-Feb-25,Thursday,February,Q1,2025,EQ,109750.0,110400.0,108880.6,109570.7,109840.5,109938.7,109844.0,151445.0,106335.0,3751.0,2344.0
19-Feb-25,Wednesday,February,Q1,2025,EQ,108800.0,109900.0,108269.1,109020.5,109178.6,109570.7,109301.5,151445.0,106335.0,3428.0,2710.0
18-Feb-25,Tuesday,February,Q1,2025,EQ,109601.0,110000.0,108700.0,109984.0,108862.8,109020.5,109144.4,151445.0,106335.0,3139.0,2394.0
17-Feb-25,Monday,February,Q1,2025,EQ,109200.0,110371.4,108000.0,109474.9,109958.0,109984.0,109534.8,151445.0,106335.0,5051.0,3599.0
14-Feb-25,Friday,February,Q1,2025,EQ,109688.0,110598.8,108520.6,109767.0,109280.0,109474.9,109453.2,151445.0,106335.0,4673.0,3472.0
13-Feb-25,Thursday,February,Q1,2025,EQ,110000.0,110380.0,109039.5,109394.2,109687.1,109767.0,109769.6,151445.0,106335.0,5402.0,3874.0
12-Feb-25,Wednesday,February,Q1,2025,EQ,108716.5,110967.5,106335.0,108716.5,109390.0,109394.2,108720.6,151445.0,106335.0,11043.0,8135.0
11-Feb-25,Tuesday,February,Q1,2025,EQ,111458.0,111529.8,108419.3,111036.2,108730.0,108716.5,109454.4,151445.0,108419.3,7514.0,5675.0
10-Feb-25,Monday,February,Q1,2025,EQ,113000.0,113393.4,110760.1,112875.1,111000.0,111036.2,111622.7,151445.0,110000.0,6609.0,4801.0
07-Feb-25,Friday,February,Q1,2025,EQ,112450.0,115191.9,112300.2,114128.9,112880.1,112875.1,113670.9,151445.0,110000.0,9034.0,6722.0
06-Feb-25,Thursday,February,Q1,2025,EQ,115200.0,115399.9,110000.0,114960.8,113857.8,114128.9,112846.9,151445.0,110000.0,24120.0,16608.0
05-Feb-25,Wednesday,February,Q1,2025,EQ,114933.0,115420.0,114325.1,114934.7,115000.0,114960.8,114972.8,151445.0,110100.0,5231.0,3736.0
04-Feb-25,Tuesday,February,Q1,2025,EQ,114000.0,115007.4,113111.0,113793.3,114502.0,114934.7,114262.3,151445.0,110100.0,5329.0,3698.0
03-Feb-25,Monday,February,Q1,2025,EQ,114100.0,114990.4,113400.0,114183.5,113680.0,113793.3,114105.4,151445.0,110100.0,4291.0,3091.0
01-Feb-25,Saturday,February,Q1,2025,EQ,113632.5,114500.0,112215.2,113632.5,114000.0,114183.5,113774.1,151445.0,110100.0,4218.0,3493.0
31-Jan-25,Friday,January,Q1,2025,EQ,111800.0,114606.3,111800.0,112622.5,114100.0,113632.5,113678.8,151445.0,110100.0,6999.0,4867.0
30-Jan-25,Thursday,January,Q1,2025,EQ,112395.0,113500.0,112045.4,112335.0,112301.1,112622.5,112814.0,151445.0,110100.0,7858.0,6127.0
29-Jan-25,Wednesday,January,Q1,2025,EQ,112350.0,112800.4,111600.1,112883.7,112395.0,112335.0,112217.5,151445.0,110100.0,5682.0,3987.0
28-Jan-25,Tuesday,January,Q1,2025,EQ,111077.0,113092.9,111077.0,111256.5,112841.0,112883.7,112506.1,151445.0,110100.0,9345.0,6491.0
27-Jan-25,Monday,January,Q1,2025,EQ,111479.0,111568.7,110100.0,111484.6,111111.0,111256.5,110805.0,151445.0,110100.0,4370.0,3550.0
